Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,35.923340,38.094788,35.876133,38.047585,8.025548,10764650
2001-01-03,38.047585,40.077415,37.905968,38.519638,8.125123,14965437
2001-01-04,38.614048,39.841389,38.472431,39.086102,8.244606,13016774
2001-01-05,39.086102,39.322128,37.339500,37.764351,7.965804,9653814
2001-01-08,37.717144,38.283611,36.867447,37.858761,8.039578,8342127
2001-01-09,37.764351,39.463745,37.575527,39.227718,8.330288,7250754
2001-01-10,38.519638,39.652569,38.236404,39.558159,8.400457,6039823
2001-01-11,39.605362,39.605362,38.755665,39.558159,8.400457,4998232
2001-01-12,39.510952,39.605362,37.669941,38.472431,8.169900,7521644
2001-01-16,38.141994,38.425228,36.537010,37.811558,8.029555,7969686
2001-01-17,37.717144,38.519638,37.528324,38.000378,8.069654,6274039
2001-01-18,38.094788,38.661255,37.717144,38.189198,8.109752,6413059
2001-01-19,37.764351,38.000378,37.245090,37.528324,7.969413,6974700
2001-01-22,37.433910,37.575527,36.017750,36.914654,7.839091,8325444
2001-01-23,36.961857,37.528324,36.867447,37.245090,7.909267,7283059
2001-01-24,36.631420,36.631420,35.262463,35.781723,7.598506,12472345
2001-01-25,36.206570,36.395393,34.932022,35.781723,7.598506,9648385
2001-01-26,35.545696,35.828926,34.176739,35.262463,7.488236,7113587
2001-01-29,35.309669,36.518127,35.256798,36.178249,7.682711,7484837
2001-01-30,35.513596,36.367069,35.460724,36.193352,7.685920,5460308
2001-01-31,36.253777,36.555889,35.664654,36.518127,7.754886,7229437
2001-02-01,36.858006,38.330814,36.744713,38.179756,8.107748,9426218
2001-02-02,38.512085,38.700905,37.212990,37.613293,7.987450,11159466
2001-02-05,37.084591,37.537766,36.253777,37.537766,7.971416,8810955
2001-02-06,37.462234,37.613293,36.782478,37.575527,7.979431,5857244
2001-02-07,37.726585,37.726585,36.329304,36.744713,7.803003,6063258
2001-02-08,36.593655,36.767372,36.102718,36.419941,7.734037,6063788
2001-02-09,36.291542,36.344410,34.743202,35.173717,7.469392,9221925
2001-02-12,35.211479,36.495468,35.196377,36.080059,7.661860,7422079
2001-02-13,36.080059,36.646526,35.687309,36.601208,7.772531,6432654
2001-02-14,36.593655,36.631420,35.347431,35.498489,7.538358,5121364
2001-02-15,35.800606,36.480362,35.385197,35.498489,7.538358,4901580
2001-02-16,35.498489,36.442596,35.030212,36.042297,7.653840,7030440
