Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,2.416667,2.429167,2.405000,2.408333,0.995122,1266000
2003-01-03,2.408333,2.415833,2.385833,2.408333,0.995122,3025200
2003-01-06,2.433333,2.454167,2.415000,2.416667,0.998566,2779200
2003-01-07,2.412500,2.435833,2.408333,2.429167,1.003731,2565600
2003-01-08,2.412500,2.425000,2.333333,2.345833,0.969297,3720000
2003-01-09,2.355833,2.422500,2.350000,2.412500,0.996844,3808800
2003-01-10,2.416667,2.420833,2.354167,2.366667,0.977906,2390400
2003-01-13,2.337500,2.349167,2.319167,2.337500,0.965854,2796000
2003-01-14,2.345833,2.383333,2.340000,2.383333,0.984793,1078800
2003-01-15,2.375000,2.375000,2.325000,2.332500,0.963789,1422000
2003-01-16,2.345833,2.354167,2.308333,2.312500,0.955524,3720000
2003-01-17,2.312500,2.312500,2.258333,2.290000,0.946227,2732400
2003-01-21,2.265833,2.278333,2.232500,2.232500,0.922468,7286400
2003-01-22,2.250000,2.273333,2.250000,2.254167,0.931421,2756400
2003-01-23,2.258333,2.258333,2.179167,2.179167,0.900431,5157600
2003-01-24,2.171667,2.171667,2.142500,2.142500,0.885281,8997600
2003-01-27,2.150000,2.173333,2.145000,2.154167,0.890101,2284800
2003-01-28,2.137500,2.175833,2.126667,2.175833,0.899054,4042800
2003-01-29,2.154167,2.180000,2.148333,2.180000,0.900775,8971200
2003-01-30,2.204167,2.270833,2.203333,2.270833,0.938308,10950000
2003-01-31,2.275833,2.308333,2.275000,2.304167,0.952081,6362400
2003-02-03,2.325000,2.337500,2.289167,2.337500,0.965854,2073600
2003-02-04,2.329167,2.343333,2.291667,2.342500,0.967920,8556000
2003-02-05,2.345833,2.387500,2.317500,2.350000,0.971019,7749600
2003-02-06,2.337500,2.386667,2.337500,2.379167,0.983071,2432400
2003-02-07,2.390833,2.412500,2.371667,2.412500,0.996844,5710800
2003-02-10,2.358333,2.395833,2.345833,2.391667,0.988236,4087200
2003-02-11,2.404167,2.445833,2.395833,2.431667,1.004764,4594800
2003-02-12,2.431667,2.431667,2.384167,2.404167,0.993401,1618800
2003-02-13,2.373333,2.373333,2.287500,2.305000,0.952425,4497600
2003-02-14,2.291667,2.291667,2.250000,2.250000,0.929699,3087600
2003-02-18,2.341667,2.345833,2.265000,2.345833,0.969297,2820000
2003-02-19,2.345833,2.345833,2.278333,2.285000,0.944162,2475600
2003-02-20,2.305833,2.310000,2.272500,2.300833,0.950703,4759200
2003-02-21,2.304167,2.358333,2.297500,2.358333,0.974463,5280000
2003-02-24,2.358333,2.395833,2.358333,2.395833,0.989957,3597600
2003-02-25,2.350000,2.412500,2.350000,2.412500,0.996844,6158400
2003-02-26,2.408333,2.433333,2.408333,2.429167,1.003731,4755600
2003-02-27,2.354167,2.380000,2.345833,2.375000,0.981349,8096400
2003-02-28,2.375000,2.417500,2.362500,2.416667,0.998566,7203600
2003-03-03,2.416667,2.475000,2.416667,2.458333,1.015782,10880400
2003-03-04,2.458333,2.470000,2.442500,2.445833,1.010617,5103600
2003-03-05,2.445833,2.466667,2.429167,2.441667,1.008896,19236000
2003-03-06,2.444167,2.457500,2.435833,2.436667,1.006830,4482000
2003-03-07,2.415833,2.415833,2.375000,2.385833,0.985825,6561600
2003-03-10,2.375833,2.376667,2.334167,2.341667,0.967576,9090000
2003-03-11,2.329167,2.375000,2.329167,2.375000,0.981349,1640400
2003-03-12,2.391667,2.405833,2.383333,2.388333,0.986859,3015600
2003-03-13,2.379167,2.395833,2.371667,2.391667,0.988236,6338400
2003-03-14,2.399167,2.400000,2.316667,2.333333,0.964133,3862800
2003-03-17,2.333333,2.377500,2.328333,2.345833,0.969297,4666800
2003-03-18,2.350000,2.350000,2.303333,2.326667,0.961378,3122400
2003-03-19,2.330833,2.330833,2.275833,2.286667,0.944850,5360400
2003-03-20,2.295833,2.315000,2.283333,2.311667,0.955180,2216400
2003-03-21,2.309167,2.319167,2.300833,2.316667,0.957246,2182800
2003-03-24,2.320833,2.320833,2.274167,2.283333,0.943472,1837200
2003-03-25,2.291667,2.304167,2.291667,2.301667,0.951048,4149600
2003-03-26,2.309167,2.309167,2.253333,2.258333,0.933143,3433200
2003-03-27,2.258333,2.320833,2.250000,2.292500,0.947260,10131600
2003-03-28,2.300000,2.300000,2.283333,2.287500,0.945194,3644400
2003-03-31,2.275000,2.282500,2.239167,2.245833,0.927978,5796000
2003-04-01,2.250000,2.320833,2.250000,2.305000,0.952425,7011600
2003-04-02,2.308333,2.334167,2.308333,2.329167,0.962411,10683600
2003-04-03,2.340833,2.340833,2.254167,2.265833,0.936241,4002000
2003-04-04,2.287500,2.287500,2.236667,2.254167,0.931421,4879200
2003-04-07,2.270833,2.337500,2.270833,2.300000,0.950359,8106000
2003-04-08,2.316667,2.327500,2.312500,2.320833,0.958968,1630800
2003-04-09,2.333333,2.353333,2.329167,2.341667,0.967576,1459200
2003-04-10,2.345833,2.416667,2.345833,2.358333,0.974463,3625200
2003-04-11,2.379167,2.383333,2.333333,2.333333,0.964133,1084800
2003-04-14,2.329167,2.350000,2.329167,2.350000,0.971019,792000
2003-04-15,2.360833,2.383333,2.355000,2.375000,0.981349,2389200
2003-04-16,2.391667,2.391667,2.329167,2.343333,0.968264,4260000
2003-04-17,2.316667,2.350833,2.316667,2.338333,0.984759,3036000
2003-04-21,2.338333,2.371667,2.333333,2.358333,0.993182,705600
2003-04-22,2.357500,2.358333,2.307500,2.320833,0.977389,4282800
2003-04-23,2.333333,2.333333,2.317500,2.320833,0.977389,3616800
2003-04-24,2.320833,2.320833,2.225000,2.237500,0.942295,10215600
2003-04-25,2.250000,2.266667,2.245000,2.266667,0.954578,4054800
2003-04-28,2.262500,2.296667,2.241667,2.291667,0.965106,2776800
2003-04-29,2.308333,2.362500,2.308333,2.333333,0.982654,3292800
2003-04-30,2.333333,2.349167,2.304167,2.330000,0.981250,5949600
2003-05-01,2.337500,2.343333,2.316667,2.341667,0.986163,2212800
2003-05-02,2.345833,2.345833,2.312500,2.319167,0.976688,859200
2003-05-05,2.325000,2.350000,2.325000,2.344167,0.987216,1908000
2003-05-06,2.362500,2.402500,2.358333,2.389167,1.006167,2875200
2003-05-07,2.400000,2.404167,2.386667,2.391667,1.007220,2931600
2003-05-08,2.383333,2.402500,2.366667,2.375000,1.000201,1572000
2003-05-09,2.382500,2.421667,2.382500,2.403333,1.012133,2089200
2003-05-12,2.403333,2.450000,2.403333,2.437500,1.026522,2511600
2003-05-13,2.441667,2.465000,2.429167,2.440833,1.027926,1560000
2003-05-14,2.450000,2.462500,2.376667,2.388333,1.005816,3934800
2003-05-15,2.391667,2.391667,2.333333,2.350000,0.989672,1785600
2003-05-16,2.341667,2.402500,2.341667,2.383333,1.003710,5764800
2003-05-19,2.366667,2.428333,2.363333,2.400833,1.011080,2618400
2003-05-20,2.479167,2.479167,2.416667,2.438333,1.026873,7483200
2003-05-21,2.417500,2.450000,2.408333,2.435833,1.025820,2990400
2003-05-22,2.441667,2.450000,2.433333,2.445000,1.029681,2188800
2003-05-23,2.445000,2.483333,2.441667,2.483333,1.045824,3271200
2003-05-27,2.416667,2.466667,2.416667,2.464167,1.037753,2889600
2003-05-28,2.460833,2.483333,2.460833,2.479167,1.044069,2186400
2003-05-29,2.487500,2.523333,2.487500,2.508333,1.056352,3157200
2003-05-30,2.512500,2.512500,2.482500,2.500000,1.052843,3418800
2003-06-02,2.500000,2.502500,2.433333,2.441667,1.028277,1498800
2003-06-03,2.450000,2.480833,2.444167,2.480833,1.044771,1404000
2003-06-04,2.491667,2.511667,2.484167,2.504167,1.054598,1350000
2003-06-05,2.487500,2.541667,2.487500,2.533333,1.066881,2010000
2003-06-06,2.557500,2.575833,2.557500,2.566667,1.080920,3552000
2003-06-09,2.565000,2.570833,2.523333,2.533333,1.066881,1394400
2003-06-10,2.540833,2.562500,2.516667,2.526667,1.064074,2674800
2003-06-11,2.508333,2.540833,2.505833,2.529167,1.065127,2264400
2003-06-12,2.512500,2.512500,2.472500,2.499167,1.052492,3132000
2003-06-13,2.470833,2.479167,2.445833,2.458333,1.035296,4099200
2003-06-16,2.462500,2.492500,2.437500,2.489167,1.048281,3963600
2003-06-17,2.525000,2.540833,2.510833,2.520833,1.061616,8696400
2003-06-18,2.537500,2.537500,2.519167,2.535833,1.067934,6325200
2003-06-19,2.542500,2.574167,2.529167,2.529167,1.065127,874800
2003-06-20,2.520000,2.520000,2.485833,2.503333,1.054247,759600
2003-06-23,2.503333,2.520833,2.492500,2.513333,1.058458,2701200
2003-06-24,2.491667,2.515833,2.491667,2.505000,1.054949,1700400
2003-06-25,2.522500,2.523333,2.491667,2.499167,1.052492,1390800
2003-06-26,2.491667,2.500833,2.466667,2.498333,1.052141,954000
2003-06-27,2.498333,2.507500,2.475833,2.479167,1.044069,1809600
2003-06-30,2.487500,2.493333,2.459167,2.471667,1.040911,706800
2003-07-01,2.479167,2.500000,2.470000,2.493333,1.050035,1069200
2003-07-02,2.485000,2.557500,2.485000,2.546667,1.072496,3214800
2003-07-03,2.550000,2.579167,2.541667,2.571667,1.083025,1048800
2003-07-07,2.582500,2.614167,2.577500,2.595000,1.092851,4335600
2003-07-08,2.600000,2.635833,2.600000,2.622500,1.104433,5340000
2003-07-09,2.622500,2.711667,2.620833,2.708333,1.140580,5509200
2003-07-10,2.700000,2.720833,2.666667,2.678333,1.127946,5649600
2003-07-11,2.662500,2.665833,2.637500,2.637500,1.110749,1759200
2003-07-14,2.637500,2.662500,2.637500,2.645833,1.114259,1304400
2003-07-15,2.650000,2.682500,2.645000,2.662500,1.121278,4444800
2003-07-16,2.675000,2.675000,2.655000,2.659167,1.119874,1452000
2003-07-17,2.660833,2.677500,2.643333,2.657500,1.119172,2149200
2003-07-18,2.644167,2.666667,2.637500,2.653333,1.117417,2392800
2003-07-21,2.654167,2.662500,2.644167,2.662500,1.121278,820800
2003-07-22,2.661667,2.661667,2.630000,2.633333,1.108994,2119200
2003-07-23,2.637500,2.650000,2.632500,2.641667,1.112504,4768800
2003-07-24,2.633333,2.750000,2.629167,2.742500,1.154969,15772800
2003-07-25,2.766667,2.816667,2.766667,2.815833,1.185853,6512400
2003-07-28,2.815833,2.854167,2.812500,2.833333,1.193222,6567600
2003-07-29,2.833333,2.854167,2.812500,2.815000,1.185501,3781200
2003-07-30,2.820833,2.833333,2.810833,2.832500,1.192871,5355600
2003-07-31,2.820833,2.906667,2.820833,2.902500,1.222351,6526800
2003-08-01,2.894167,2.933333,2.883333,2.886667,1.215683,3208800
2003-08-04,2.841667,2.845000,2.807500,2.831667,1.192521,4203600
2003-08-05,2.833333,2.833333,2.799167,2.808333,1.182694,5250000
2003-08-06,2.775000,2.784167,2.758333,2.782500,1.171814,4948800
2003-08-07,2.782500,2.787500,2.762500,2.764167,1.164094,2805600
2003-08-08,2.754167,2.820833,2.754167,2.817500,1.186554,3540000
2003-08-11,2.824167,2.875000,2.811667,2.870833,1.209015,2164800
2003-08-12,2.877500,2.920833,2.877500,2.919167,1.229370,13227600
2003-08-13,2.925000,2.962500,2.910000,2.938333,1.237442,2678400
2003-08-14,2.908333,3.066667,2.890000,3.065000,1.290786,13743600
2003-08-15,3.065000,3.104167,3.041667,3.095833,1.303771,2131200
2003-08-18,3.100000,3.154167,3.100000,3.124167,1.315703,7651200
2003-08-19,3.145000,3.187500,3.112500,3.170833,1.335356,4514400
2003-08-20,3.133333,3.287500,3.108333,3.250000,1.368696,9672000
2003-08-21,3.270833,3.312500,3.187500,3.195833,1.345884,13468800
2003-08-22,3.183333,3.185833,3.090000,3.090000,1.301314,7224000
2003-08-25,3.090000,3.112500,3.061667,3.062500,1.289733,5287200
2003-08-26,3.050000,3.125833,3.045833,3.054167,1.286224,5175600
2003-08-27,3.037500,3.056667,3.012500,3.052500,1.285522,5184000
2003-08-28,3.029167,3.165833,3.029167,3.112500,1.334470,5118000
2003-08-29,3.104167,3.125000,3.095833,3.120833,1.338043,2953200
2003-09-02,3.145833,3.208333,3.145833,3.208333,1.375558,5661600
2003-09-03,3.187500,3.235000,3.156667,3.156667,1.353407,7072800
2003-09-04,3.165000,3.215833,3.151667,3.209167,1.375916,5602800
2003-09-05,3.208333,3.350000,3.202500,3.292500,1.411644,5680800
2003-09-08,3.314167,3.359167,3.301667,3.318333,1.422720,4245600
2003-09-09,3.279167,3.300833,3.256667,3.279167,1.405928,5088000
2003-09-10,3.279167,3.290000,3.249167,3.269167,1.401640,6018000
2003-09-11,3.269167,3.303333,3.239167,3.262500,1.398782,5257200
2003-09-12,3.266667,3.349167,3.262500,3.325000,1.425578,3325200
2003-09-15,3.325833,3.375000,3.287500,3.287500,1.409501,2755200
2003-09-16,3.285000,3.304167,3.259167,3.291667,1.411287,4971600
2003-09-17,3.291667,3.320833,3.280833,3.304167,1.416646,7610400
2003-09-18,3.325000,3.441667,3.319167,3.441667,1.475599,6296400
2003-09-19,3.495833,3.508333,3.450833,3.466667,1.486318,4483200
2003-09-22,3.466667,3.468333,3.365000,3.398333,1.457020,5206800
2003-09-23,3.400000,3.404167,3.325833,3.372500,1.445944,6403200
2003-09-24,3.387500,3.441667,3.370000,3.384167,1.450946,4293600
2003-09-25,3.375833,3.375833,3.258333,3.268333,1.401283,3678000
2003-09-26,3.268333,3.287500,3.216667,3.279167,1.405928,4662000
2003-09-29,3.283333,3.375000,3.283333,3.354167,1.438084,3679200
2003-09-30,3.383333,3.425000,3.375833,3.401667,1.458449,5652000
2003-10-01,3.408333,3.533333,3.408333,3.525000,1.511327,7165200
2003-10-02,3.525000,3.716667,3.524167,3.683333,1.579212,9645600
2003-10-03,3.766667,3.828333,3.745833,3.787500,1.623873,10899600
2003-10-06,3.788333,3.850000,3.758333,3.840000,1.646382,5023200
2003-10-07,3.883333,3.883333,3.850833,3.854167,1.652456,8403600
2003-10-08,3.875000,3.897500,3.770833,3.770833,1.616727,8730000
2003-10-09,3.770833,3.831667,3.750000,3.758333,1.611367,5265600
2003-10-10,3.737500,3.745833,3.717500,3.735000,1.601364,2690400
2003-10-13,3.745833,3.933333,3.741667,3.905000,1.674251,5886000
2003-10-14,3.916667,3.995833,3.908333,3.965833,1.700333,5724000
2003-10-15,3.979167,3.979167,3.917500,3.931667,1.685684,3376800
2003-10-16,3.916667,3.916667,3.880000,3.895833,1.688935,2058000
2003-10-17,3.900000,3.900000,3.849167,3.858333,1.672678,4642800
2003-10-20,3.837500,3.845833,3.794167,3.808333,1.651002,7496400
2003-10-21,3.808333,3.845833,3.804167,3.837500,1.663647,6054000
2003-10-22,3.800000,3.833333,3.725000,3.729167,1.616681,4131600
2003-10-23,3.658333,3.675000,3.620000,3.675000,1.593199,4983600
2003-10-24,3.616667,3.662500,3.610000,3.637500,1.576942,5022000
2003-10-27,3.633333,3.660833,3.600000,3.660833,1.587057,4238400
2003-10-28,3.657500,3.712500,3.653333,3.712500,1.609456,10520400
2003-10-29,3.704167,3.783333,3.704167,3.780833,1.639080,7788000
2003-10-30,3.780833,3.875000,3.754167,3.866667,1.676291,6304800
2003-10-31,3.879167,3.888333,3.783333,3.812500,1.652808,5420400
2003-11-03,3.816667,3.845833,3.812500,3.825000,1.658228,10362000
2003-11-04,3.820833,3.915833,3.817500,3.858333,1.672678,5479200
2003-11-05,3.841667,3.860833,3.750000,3.766667,1.632939,7390800
2003-11-06,3.791667,3.791667,3.666667,3.666667,1.589586,10054800
2003-11-07,3.675833,3.696667,3.630000,3.670000,1.591031,11413200
2003-11-10,3.662500,3.662500,3.525000,3.562500,1.544428,7126800
2003-11-11,3.562500,3.562500,3.504167,3.535000,1.532505,7048800
2003-11-12,3.516667,3.620833,3.516667,3.608333,1.564297,4378800
2003-11-13,3.629167,3.685833,3.587500,3.655000,1.584528,14011200
2003-11-14,3.657500,3.657500,3.606667,3.632500,1.574775,5851200
2003-11-17,3.625833,3.625833,3.513333,3.533333,1.531783,7023600
2003-11-18,3.583333,3.583333,3.501667,3.505000,1.519500,4666800
2003-11-19,3.500833,3.516667,3.475000,3.500000,1.517333,8264400
2003-11-20,3.500000,3.518333,3.488333,3.512500,1.522751,5414400
2003-11-21,3.504167,3.533333,3.499167,3.505833,1.519861,3902400
2003-11-24,3.516667,3.525000,3.503333,3.512500,1.522751,4104000
2003-11-25,3.520833,3.637500,3.514167,3.625000,1.571523,5530800
2003-11-26,3.625833,3.669167,3.608333,3.620833,1.569716,3412800
2003-11-28,3.621667,3.650000,3.616667,3.649167,1.582000,2125200
2003-12-01,3.683333,3.877500,3.683333,3.833333,1.661840,5709600
2003-12-02,3.866667,3.870000,3.827500,3.860833,1.673761,4922400
2003-12-03,3.845833,3.850000,3.829167,3.841667,1.665453,3349200
2003-12-04,3.857500,3.971667,3.857500,3.967500,1.720004,5704800
2003-12-05,3.979167,4.111667,3.946667,4.042500,1.752519,7675200
2003-12-08,4.104167,4.241667,4.079167,4.241667,1.838863,6984000
2003-12-09,4.375000,4.478333,4.329167,4.444167,1.926650,18734400
2003-12-10,4.456667,4.464167,4.298333,4.300000,1.864151,14535600
2003-12-11,4.295833,4.343333,4.245000,4.327500,1.876073,11044800
2003-12-12,4.341667,4.541667,4.292500,4.483333,1.943630,10234800
2003-12-15,4.683333,4.687500,4.491667,4.502500,1.951940,13120800
2003-12-16,4.541667,4.566667,4.483333,4.524167,1.961333,10450800
2003-12-17,4.503333,4.552500,4.490833,4.516667,1.958081,11704800
2003-12-18,4.512500,4.584167,4.507500,4.579167,1.985176,6907200
2003-12-19,4.579167,4.704167,4.569167,4.695833,2.035754,12937200
2003-12-22,4.687500,4.933333,4.676667,4.887500,2.118846,13371600
2003-12-23,4.933333,4.962500,4.792500,4.821667,2.090306,12786000
2003-12-24,4.821667,4.906667,4.815000,4.865000,2.109092,1432800
2003-12-26,4.879167,4.930000,4.866667,4.914167,2.130407,1569600
2003-12-29,4.935000,4.990000,4.883333,4.965833,2.152805,6994800
2003-12-30,4.879167,4.970000,4.802500,4.854167,2.104395,7218000
2003-12-31,4.875000,4.925000,4.818333,4.875000,2.113427,1646400
2004-01-02,4.895833,5.095833,4.895833,5.066667,2.196520,5176800
2004-01-05,5.212500,5.279167,5.183333,5.239167,2.271302,16708800
2004-01-06,5.291667,5.291667,5.126667,5.175000,2.243484,8653200
2004-01-07,5.208333,5.241667,4.984167,5.035833,2.183152,9655200
2004-01-08,5.041667,5.216667,5.036667,5.141667,2.229033,9116400
2004-01-09,5.141667,5.158333,5.058333,5.070000,2.197964,4206000
2004-01-12,5.129167,5.165000,5.032500,5.104167,2.212776,6345600
2004-01-13,5.266667,5.266667,5.091667,5.108333,2.214583,8698800
2004-01-14,5.108333,5.125000,4.900000,5.058333,2.192907,10122000
2004-01-15,5.054167,5.054167,4.890000,4.912500,2.129685,5815200
2004-01-16,4.870833,4.948333,4.847500,4.885000,2.117763,7291200
2004-01-20,4.916667,5.020000,4.916667,4.999167,2.167256,6624000
2004-01-21,4.920833,4.924167,4.875000,4.875000,2.113427,4486800
2004-01-22,4.924167,4.924167,4.804167,4.815000,2.087416,6598800
2004-01-23,4.737500,4.791667,4.725000,4.750000,2.059237,9417600
2004-01-26,4.770833,4.800000,4.645833,4.687500,2.032142,7044000
2004-01-27,4.712500,4.847500,4.699167,4.816667,2.088139,10675200
2004-01-28,4.884167,4.895000,4.650000,4.683333,2.030335,6733200
