Date,Open,High,Low,Close,Adj Close,Volume
2000-07-17,1.044643,1.051339,0.924107,0.956473,0.812947,1438085600
2000-07-24,0.938616,0.950893,0.837054,0.862723,0.733265,1367128000
2000-07-31,0.877790,0.921875,0.790179,0.845982,0.719036,1057957600
2000-08-07,0.854911,0.876116,0.813616,0.851563,0.723780,1233433600
2000-08-14,0.849888,0.936384,0.827009,0.892857,0.758877,875610400
2000-08-21,0.897321,1.026786,0.886161,1.014509,0.862275,1293359200
2000-08-28,1.022321,1.136161,1.018973,1.132813,0.962826,1587896800
2000-09-04,1.118862,1.145089,1.031250,1.051339,0.893578,1067029600
2000-09-11,1.047991,1.078125,0.968750,0.986328,0.838322,1502429600
2000-09-18,0.986607,1.097098,0.892857,0.931920,0.792079,2160625600
2000-09-25,0.941964,0.991071,0.453125,0.459821,0.390821,9529973600
2000-10-02,0.476563,0.477679,0.375000,0.396205,0.336752,7414596000
2000-10-09,0.404018,0.408482,0.341518,0.393973,0.334854,4925905600
2000-10-16,0.398438,0.415179,0.327009,0.348214,0.295962,4554149600
2000-10-23,0.361886,0.372768,0.312500,0.331473,0.281733,3486067200
2000-10-30,0.341518,0.410714,0.334821,0.397321,0.337700,3206952000
2000-11-06,0.400670,0.404018,0.340402,0.340402,0.289322,2016616000
2000-11-13,0.334821,0.366071,0.325893,0.330357,0.280785,1808727200
2000-11-20,0.332031,0.348214,0.325893,0.344866,0.293116,1151483200
2000-11-27,0.354911,0.356027,0.287946,0.304688,0.258967,2215371200
2000-12-04,0.306920,0.311384,0.250000,0.268973,0.228612,3204504800
2000-12-11,0.271205,0.285714,0.250000,0.251116,0.213434,1840921600
2000-12-18,0.260045,0.272321,0.243304,0.267857,0.227663,1950043200
2000-12-25,0.265625,0.267857,0.253348,0.265625,0.225766,1477795200
2001-01-01,0.265625,0.330357,0.257813,0.292411,0.248533,2421137600
2001-01-08,0.302455,0.330357,0.284598,0.306920,0.260864,2770521600
2001-01-15,0.311384,0.349330,0.294643,0.348214,0.295962,3150666400
2001-01-22,0.340402,0.373884,0.329241,0.349330,0.296910,3088478400
2001-01-29,0.349330,0.401786,0.349330,0.368304,0.313037,3075693600
2001-02-05,0.366071,0.381975,0.333705,0.341518,0.290271,2336924800
2001-02-12,0.340402,0.367188,0.330357,0.339286,0.288374,1395637600
2001-02-19,0.342634,0.356027,0.321429,0.335938,0.285528,1430979200
2001-02-26,0.340402,0.364955,0.306920,0.343750,0.292168,1799851200
2001-03-05,0.345982,0.393973,0.343750,0.361607,0.307345,1979510400
2001-03-12,0.351563,0.381696,0.323661,0.350446,0.297859,2311758400
