Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,47.995617,47.995617,42.452049,44.476181,32.182823,42565864
2000-01-08,44.640301,47.010902,44.312061,46.536781,33.724033,30003427
2000-01-15,46.099133,46.099133,43.290878,44.257355,32.072186,30098367
2000-01-22,45.005009,47.922676,43.947353,46.172073,33.459724,46823375
2000-01-29,45.807365,49.454449,45.752659,47.102081,34.133686,38253514
2000-02-05,47.102081,48.232677,44.330299,44.786182,32.455406,29428653
2000-02-12,44.786182,46.573254,39.497913,40.336742,29.231003,47522907
2000-02-19,40.701450,41.047924,36.179066,36.397892,26.376633,61120759
2000-02-26,36.908482,40.373215,36.908482,38.950851,28.226679,50192163
2000-03-04,38.950851,39.023792,34.866116,36.963188,26.786278,55083743
2000-03-11,36.106125,42.889702,35.704945,41.904987,30.367493,59875586
2000-03-18,42.306168,45.898544,40.409683,45.406189,32.904705,47953387
2000-03-25,45.369717,45.515598,42.743816,43.454998,31.490747,34313378
2000-04-01,43.692059,46.044426,40.446156,40.573803,29.402813,48514109
2000-04-08,40.573803,44.932068,38.458492,39.096733,28.332407,53461214
2000-04-15,38.804966,41.977928,38.476730,41.722633,30.235329,28086485
2000-04-22,41.649693,46.609726,41.430866,43.619118,31.664127,45057238
2000-04-29,43.655586,44.713242,40.847332,42.780289,31.055216,37188279
2000-05-06,42.306168,44.968536,41.576752,43.983826,31.928900,31196160
2000-05-13,44.202648,46.062664,43.546173,44.038532,31.968592,17872501
2000-05-20,43.983826,45.843838,42.452049,42.944405,31.174355,18230664
2000-05-27,43.436764,49.892101,43.436764,49.454449,35.900150,17419857
2000-06-03,49.235626,49.837395,46.828548,47.102081,34.192505,16433452
2000-06-10,47.047375,50.056217,44.968536,45.077950,32.723137,21165543
2000-06-17,45.679718,48.196205,45.460896,46.937962,34.073360,17745002
2000-06-24,46.937962,49.454449,44.640301,45.625011,33.120274,20226436
2000-07-01,44.530888,47.102081,44.366768,47.047375,34.152794,13483719
2000-07-08,46.937962,50.001514,46.226780,49.509155,35.994835,17947904
2000-07-15,49.892101,52.135056,47.485023,51.861526,37.705090,20282989
2000-07-22,51.861526,52.299175,48.196205,49.016800,35.636871,21162002
2000-07-29,48.907387,52.682117,48.852680,52.353882,38.063057,17367874
2000-08-05,51.861526,52.900944,50.329750,52.299175,38.023273,17261510
2000-08-12,52.627415,52.900944,50.110924,51.205051,37.227802,14179710
2000-08-19,51.642700,52.572704,48.797974,49.509155,35.994835,17657146
2000-08-26,50.329750,52.846237,49.892101,51.150345,37.188023,16795954
2000-09-02,51.150345,54.159187,51.095638,53.065063,38.580101,12262882
2000-09-09,52.518002,54.487427,51.423874,51.916229,37.744865,18299668
2000-09-16,51.369167,52.408588,48.907387,51.423874,37.386913,17419742
2000-09-23,51.642700,54.268600,51.095638,53.174477,38.659660,14977492
2000-09-30,53.393299,55.143902,50.329750,50.712692,36.869862,21619217
2000-10-07,50.767399,50.767399,44.804420,47.211494,34.369068,31972924
2000-10-14,47.703850,49.782688,44.312061,49.071507,35.723129,26229866
2000-10-21,49.509155,51.423874,46.445606,48.852680,35.563824,25545298
2000-10-28,49.345039,52.846237,49.290333,52.189762,37.993145,20556038
2000-11-04,52.408588,53.776245,49.946808,49.946808,36.360310,17099966
2000-11-11,49.837395,52.080349,48.250912,49.071507,35.723129,17750828
2000-11-18,49.071507,49.071507,43.819706,44.968536,32.736237,15123386
2000-11-25,47.266201,51.861526,46.281487,47.485023,34.568203,27401234
2000-12-02,46.992668,49.126213,44.968536,47.977383,34.926624,26605165
2000-12-09,48.743271,50.822105,46.937962,47.813263,34.807159,21416657
2000-12-16,48.469738,50.712692,44.585594,46.555019,33.891155,28625157
2000-12-23,46.773846,48.524445,46.062664,48.086796,35.006256,18989489
2000-12-30,47.703850,49.946808,44.202648,45.132656,32.855728,27925969
2001-01-06,45.406189,45.406189,40.373215,41.959694,30.592928,44752084
2001-01-13,41.959694,44.366768,41.193806,42.561462,31.031673,26883583
2001-01-20,42.780289,42.999111,38.677319,40.810863,29.755308,65665943
2001-01-27,41.401691,43.721233,40.263802,42.110683,30.703011,39995544
2001-02-03,42.224472,42.942219,39.826149,41.165359,30.013756,27697704
2001-02-10,41.182865,42.452049,40.421352,41.331665,30.135050,23000685
2001-02-17,41.401691,41.515480,36.666317,39.300968,28.654438,26781217
2001-02-24,39.335983,40.132504,36.762600,38.294376,27.920521,34418600
2001-03-03,38.513199,39.537300,37.025188,37.401569,27.269587,23948932
2001-03-10,36.806366,36.823872,33.261398,33.418953,24.365850,50827488
2001-03-17,34.355526,34.425549,29.760201,32.211040,23.485155,68744888
2001-03-24,32.823750,36.832623,32.561161,36.149891,26.356981,49918771
2001-03-31,33.217636,35.449650,31.475788,32.132263,23.427717,45952931
2001-04-07,32.368595,35.003246,31.992214,34.303005,25.063179,25298413
2001-04-14,33.742813,39.388500,33.086342,36.324951,26.540506,31925055
2001-04-21,36.106125,38.425671,34.933224,38.285622,27.973049,31312921
2001-04-28,38.504448,38.714520,36.543774,38.381905,28.043400,31476636
2001-05-05,38.075550,38.285622,35.449650,36.998932,27.032940,28885411
2001-05-12,36.718834,39.152168,36.106125,38.250610,27.947472,24880154
2001-05-19,38.163078,40.745216,37.812962,37.926750,27.710852,25313379
2001-05-26,38.145573,38.145573,36.324951,37.095215,27.103300,20044214
2001-06-02,37.103966,37.681664,35.449650,35.878548,26.214350,23754941
2001-06-09,36.324951,37.357803,33.769073,34.084183,24.903313,35683994
2001-06-16,34.092934,35.861042,33.497730,35.668476,26.060865,32729350
2001-06-23,35.668476,35.887299,33.375191,33.961639,24.813770,30545984
2001-06-30,34.136700,35.064518,33.453964,33.506485,24.481216,13736204
2001-07-07,33.699051,34.513081,32.035980,34.451809,25.222971,23686850
2001-07-14,34.399288,34.486820,32.534901,33.243893,24.338642,28848623
2001-07-21,33.243893,34.574348,32.788738,34.565598,25.306290,25002742
2001-07-28,34.355526,36.692577,34.355526,35.405884,25.921486,25555009
2001-08-04,35.012001,35.580944,33.970394,34.880707,25.536985,17372215
2001-08-11,34.880707,35.134541,32.429867,32.823750,24.031038,19847938
2001-08-18,32.753727,33.541496,31.668354,33.445213,24.486034,26401805
2001-08-25,33.401447,33.637779,31.073151,31.878426,23.338947,21187021
2001-09-01,31.598330,32.604923,29.830223,30.285379,22.172636,28083286
2001-09-08,29.611399,30.915596,29.497610,30.644253,22.435390,9788301
2001-09-15,25.383699,26.521589,21.182261,22.416433,16.411598,120094481
2001-09-22,23.589334,25.996410,23.002884,25.436218,18.622452,50407860
2001-09-29,25.296169,26.504084,23.808161,24.324587,17.808611,38625385
2001-10-06,23.948208,26.862957,23.361757,26.250246,19.271582,44099508
2001-10-13,26.250246,28.175907,25.164875,25.663795,18.841059,32721467
2001-10-20,25.444971,27.081781,24.744732,26.889215,19.740683,29551354
2001-10-27,26.757921,26.766674,25.226147,26.206482,19.239454,20002972
2001-11-03,26.259001,29.235020,25.970152,28.631063,21.019468,30879812
2001-11-10,28.631063,30.355404,27.134300,28.998690,21.289358,39234777
2001-11-17,29.611399,30.084061,28.972429,30.084061,22.086185,13440534
2001-11-24,30.145332,30.863077,28.534781,28.806124,21.147984,24396093
2001-12-01,28.315954,31.020632,28.009600,30.372910,22.298235,25696790
2001-12-08,30.022791,30.854324,27.773270,28.237179,20.730293,36321490
2001-12-15,28.228424,30.582981,28.027105,29.585140,21.719896,31620473
2001-12-22,29.961519,31.685860,29.873989,31.554565,23.165752,14598080
2001-12-29,31.790895,33.095093,30.688019,33.016315,24.238901,20743859
2002-01-05,33.296413,33.383942,32.219791,32.753727,24.100132,24543243
2002-01-12,32.403606,33.095093,31.642096,32.403606,23.842512,26756654
2002-01-19,32.806244,33.112598,31.554565,32.377346,23.823195,16929167
2002-01-26,32.324829,32.543655,29.200008,30.723030,22.605947,34392780
2002-02-02,30.547970,30.556723,28.464756,29.628904,21.800888,29119959
2002-02-09,29.191256,30.854324,28.841135,29.480104,21.691410,28269165
2002-02-16,29.480104,30.171591,28.744852,29.453844,21.672087,19190335
2002-02-23,29.803965,32.692455,29.585140,32.657444,24.029284,30688793
