Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,41.437500,44.875000,39.750000,44.312500,28.602892,24792500
2000-01-08,44.312500,44.500000,42.000000,44.000000,28.401196,14051300
2000-01-15,44.000000,48.125000,43.125000,45.687500,29.490435,30657000
2000-01-22,45.687500,46.875000,43.625000,44.625000,28.804605,17080700
2000-01-29,44.562500,45.187500,42.562500,44.000000,28.401196,14199400
2000-02-05,43.875000,43.875000,38.375000,39.875000,25.738571,20850500
2000-02-12,39.687500,39.687500,35.875000,36.000000,23.316952,18950600
2000-02-19,36.000000,39.937500,35.875000,37.812500,24.490894,16033600
2000-02-26,37.625000,37.625000,35.375000,35.937500,23.276468,17866700
2000-03-04,35.937500,36.187500,32.312500,32.375000,20.969067,18932700
2000-03-11,32.375000,38.937500,32.000000,38.000000,24.612333,32040000
2000-03-18,37.687500,37.687500,34.812500,36.000000,23.316952,23189300
2000-03-25,36.125000,38.937500,36.125000,37.812500,24.490894,18272600
2000-04-01,37.750000,38.250000,35.375000,35.687500,23.114548,15510800
2000-04-08,35.625000,38.375000,34.750000,35.375000,22.912144,15985500
2000-04-15,35.375000,40.250000,34.062500,40.062500,25.948204,21000400
2000-04-22,40.062500,41.250000,37.500000,39.687500,25.705318,26047900
2000-04-29,39.687500,40.187500,36.812500,39.500000,25.583872,14525600
2000-05-06,39.500000,39.500000,36.562500,37.187500,24.086082,15996500
2000-05-13,37.187500,37.875000,36.250000,36.937500,24.011906,13713000
2000-05-20,36.937500,39.000000,36.250000,38.250000,24.865120,15607700
2000-05-27,38.562500,40.562500,38.562500,39.875000,25.921482,10296200
2000-06-03,39.437500,40.187500,37.687500,39.187500,25.474560,13462300
2000-06-10,39.062500,41.000000,37.687500,39.250000,25.515188,18255600
2000-06-17,39.250000,40.125000,38.312500,39.875000,25.921482,13414800
2000-06-24,39.875000,42.250000,39.312500,41.812500,27.180984,17547600
2000-07-01,41.812500,44.062500,41.437500,43.750000,28.440493,14145200
2000-07-08,43.750000,45.125000,43.000000,44.437500,28.887424,15803000
2000-07-15,44.437500,47.312500,43.312500,46.812500,30.431337,27427700
2000-07-22,46.812500,50.250000,46.687500,48.812500,31.731472,27137200
2000-07-29,48.812500,49.937500,48.312500,49.000000,31.853344,17738300
2000-08-05,49.000000,49.937500,47.125000,49.625000,32.259636,15608800
2000-08-12,49.625000,49.875000,45.312500,45.687500,29.785864,20054200
2000-08-19,45.687500,54.500000,45.500000,54.125000,35.286682,34307200
2000-08-26,54.000000,56.250000,51.937500,54.750000,35.694153,21501300
2000-09-02,54.750000,59.937500,54.000000,58.125000,37.894482,29286200
2000-09-09,58.125000,60.125000,56.750000,56.875000,37.079540,24277900
2000-09-16,56.875000,64.312500,56.250000,63.500000,41.398697,26808100
2000-09-23,63.500000,66.937500,60.625000,64.500000,42.050655,31712800
2000-09-30,61.250000,63.000000,57.250000,61.000000,39.768829,26506300
2000-10-07,60.687500,61.250000,54.000000,58.750000,38.301933,21279100
2000-10-14,59.437500,61.500000,57.312500,60.000000,39.116886,20566600
2000-10-21,60.062500,63.937500,60.062500,63.750000,41.561699,22889600
2000-10-28,63.750000,67.875000,63.687500,66.062500,43.069328,22927800
2000-11-04,66.062500,66.375000,63.250000,63.500000,41.398697,13149200
2000-11-11,63.500000,66.812500,61.937500,65.375000,42.712822,16723700
2000-11-18,65.375000,69.500000,64.875000,65.687500,42.917007,13656300
2000-11-25,67.000000,70.000000,65.187500,65.812500,42.998669,21077400
2000-12-02,65.812500,70.937500,63.687500,69.937500,45.693733,23620500
2000-12-09,69.937500,70.625000,64.750000,64.875000,42.386173,19045900
2000-12-16,66.000000,69.937500,61.437500,63.437500,41.446945,21456200
2000-12-23,63.437500,67.000000,62.250000,66.000000,43.121166,10132600
