Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,23.843750,27.562500,23.843750,26.656250,14.292306,29135800
2000-01-08,26.656250,27.281250,25.375000,25.968750,13.923697,17202600
2000-01-15,25.875000,25.875000,22.812500,23.687500,12.700546,16758000
2000-01-22,23.625000,23.625000,21.281250,21.750000,11.735148,23850400
2000-01-29,21.750000,22.375000,20.625000,21.156250,11.414792,18006200
2000-02-05,20.906250,20.906250,17.437500,18.000000,9.711854,33625200
2000-02-12,18.125000,20.375000,18.125000,18.843750,10.167089,23559400
2000-02-19,18.843750,19.437500,17.937500,18.000000,9.711854,17551200
2000-02-26,18.000000,18.656250,17.093750,18.187500,9.813016,21728400
2000-03-04,18.218750,19.000000,16.750000,17.843750,9.627550,30053000
2000-03-11,17.843750,20.812500,17.500000,19.812500,10.689780,29199800
2000-03-18,19.812500,20.281250,19.218750,19.750000,10.656056,15834200
2000-03-25,19.750000,20.656250,18.843750,19.718750,10.639199,18366600
2000-04-01,19.718750,22.062500,19.718750,20.687500,11.161880,20724600
2000-04-08,20.687500,22.437500,20.093750,20.250000,10.925831,18267800
2000-04-15,20.250000,21.750000,18.500000,19.000000,10.251396,27193000
2000-04-22,19.093750,20.500000,19.093750,19.718750,10.725801,18883200
2000-04-29,19.718750,19.968750,18.937500,19.531250,10.623814,12842800
2000-05-06,19.531250,20.000000,18.781250,19.687500,10.708804,12094200
2000-05-13,19.781250,20.875000,19.250000,20.031250,10.895782,16625000
2000-05-20,20.031250,20.343750,18.906250,19.062500,10.368847,11195600
2000-05-27,19.062500,21.250000,18.937500,20.531250,11.167752,11866400
2000-06-03,20.437500,20.437500,18.843750,19.125000,10.402841,14825000
2000-06-10,19.125000,19.531250,17.937500,17.968750,9.773910,17296800
2000-06-17,17.968750,18.250000,17.156250,17.312500,9.416948,14762200
2000-06-24,17.343750,18.375000,16.906250,16.937500,9.212970,14328400
2000-07-01,17.093750,18.031250,16.968750,16.968750,9.229968,10974800
2000-07-08,17.093750,18.500000,17.093750,17.875000,9.722916,17814600
2000-07-15,17.875000,19.281250,17.500000,18.250000,9.926888,26288800
2000-07-22,18.250000,18.312500,16.968750,17.031250,9.352995,13415200
2000-07-29,17.031250,17.875000,17.031250,17.421875,9.567513,16254800
2000-08-05,17.421875,19.500000,17.281250,19.312500,10.605780,18776600
2000-08-12,19.312500,19.750000,18.843750,19.093750,10.485650,13236600
2000-08-19,19.093750,19.156250,18.500000,18.812500,10.331198,9149600
2000-08-26,18.812500,19.562500,18.125000,18.656250,10.245394,18170600
2000-09-02,18.656250,19.625000,18.531250,18.906250,10.382679,13645400
2000-09-09,18.906250,19.812500,18.593750,18.718750,10.279717,18040400
2000-09-16,18.656250,18.656250,17.281250,17.562500,9.644742,19313000
2000-09-23,17.562500,18.000000,14.500000,15.500000,8.512083,20764200
2000-09-30,15.500000,18.000000,15.500000,17.250000,9.473121,19902800
2000-10-07,17.250000,17.500000,15.437500,15.843750,8.700857,16121200
2000-10-14,15.843750,16.062500,14.781250,15.343750,8.426282,17774600
2000-10-21,15.343750,16.437500,15.343750,16.437500,9.128691,14439800
2000-10-28,16.437500,17.906250,16.250000,17.406250,9.666692,20162600
2000-11-04,17.406250,18.500000,17.406250,17.875000,9.927017,13916400
2000-11-11,17.875000,18.750000,17.593750,18.468750,10.256753,12605800
2000-11-18,18.468750,19.500000,18.250000,19.437500,10.794763,10411400
2000-11-25,19.437500,20.625000,19.218750,20.343750,11.298052,14603600
2000-12-02,20.375000,22.125000,20.375000,20.812500,11.558383,20058000
2000-12-09,20.812500,21.812500,20.062500,20.406250,11.332768,16617400
2000-12-16,20.406250,23.375000,20.062500,23.312500,12.946768,26586600
2000-12-23,23.312500,23.968750,23.093750,23.656250,13.137684,13063000
2000-12-30,23.625000,24.812500,21.781250,22.937500,12.738512,27056200
2001-01-06,22.937500,23.000000,21.343750,21.843750,12.131090,18108800
2001-01-13,21.843750,22.812500,19.906250,20.312500,11.280701,23368600
2001-01-20,20.312500,22.031250,19.906250,21.625000,12.101035,20734400
2001-01-27,21.580000,22.500000,21.125000,22.135000,12.386433,16128800
2001-02-03,22.135000,22.190001,21.245001,21.500000,12.031088,10970800
2001-02-10,21.565001,22.500000,21.410000,21.834999,12.218554,15587000
2001-02-17,21.700001,21.700001,19.875000,20.045000,11.216894,13876800
2001-02-24,20.280001,21.730000,20.280001,21.340000,11.941556,14835000
2001-03-03,21.650000,24.000000,21.650000,23.420000,13.105495,26519200
2001-03-10,23.400000,23.400000,22.125000,22.299999,12.478759,21536800
2001-03-17,22.299999,22.785000,20.075001,20.885000,11.686946,22261600
2001-03-24,21.115000,22.754999,21.115000,22.190001,12.417199,23736800
2001-03-31,22.190001,23.000000,20.750000,22.275000,12.464766,23008800
2001-04-07,22.285000,23.504999,22.285000,23.504999,13.153056,16102800
2001-04-14,23.504999,24.500000,22.715000,23.940001,13.396481,23771400
2001-04-21,23.940001,25.415001,23.775000,25.155001,14.175858,22839200
2001-04-28,25.155001,25.745001,24.469999,25.275000,14.243481,20694000
2001-05-05,25.275000,27.004999,25.049999,26.600000,14.990167,25359600
2001-05-12,26.600000,28.250000,25.900000,27.625000,15.567797,27946400
2001-05-19,27.625000,28.415001,26.920000,27.000000,15.215586,24790400
2001-05-26,27.000000,27.645000,26.629999,27.424999,15.455091,14784200
2001-06-02,27.424999,28.020000,26.780001,27.165001,15.308569,14447600
2001-06-09,27.049999,27.299999,26.400000,27.075001,15.257854,18789800
2001-06-16,27.075001,28.250000,26.844999,27.325001,15.398733,20692000
2001-06-23,27.320000,27.320000,24.750000,25.025000,14.102590,36042800
2001-06-30,25.025000,26.139999,24.799999,24.799999,13.975792,13248200
2001-07-07,25.000000,26.344999,24.385000,26.240000,14.787292,20158800
2001-07-14,26.225000,27.475000,25.075001,27.000000,15.215586,29133200
2001-07-21,27.000000,27.225000,25.950001,26.375000,14.961158,25699800
2001-07-28,26.650000,27.860001,26.540001,27.225000,15.443314,18934600
2001-08-04,27.000000,27.254999,25.690001,26.825001,15.216419,18785800
2001-08-11,26.650000,27.684999,26.530001,26.875000,15.244787,19343000
2001-08-18,26.799999,26.799999,25.430000,26.120001,14.816516,25359800
2001-08-25,26.150000,26.340000,24.750000,25.000000,14.181192,14519400
2001-09-01,25.004999,25.875000,24.375000,24.430000,13.857862,20329600
2001-09-08,24.000000,24.174999,23.525000,24.049999,13.642307,5512000
2001-09-15,23.500000,24.225000,20.155001,22.025000,12.493631,34463400
2001-09-22,22.525000,23.705000,21.315001,22.400000,12.706350,25744000
2001-09-29,22.424999,24.184999,21.674999,24.125000,13.684852,20545800
2001-10-06,23.850000,24.950001,22.750000,24.275000,13.769938,23953600
2001-10-13,24.025000,24.200001,22.650000,22.879999,12.978621,21757000
2001-10-20,22.830000,23.805000,22.155001,23.650000,13.516234,17832600
2001-10-27,23.549999,23.750000,21.850000,22.855000,13.061882,17395000
2001-11-03,22.975000,24.905001,22.870001,24.125000,13.787702,20452200
2001-11-10,24.025000,24.985001,23.500000,24.549999,14.030589,20605200
2001-11-17,24.674999,25.075001,24.094999,24.320000,13.899141,14941600
