Date,Open,High,Low,Close,Adj Close,Volume
2000-07-17,28.671875,30.625000,28.312500,30.429688,16.069376,41397400
2000-07-24,30.000000,31.500000,29.312500,31.343750,16.552076,44371200
2000-07-31,31.187500,32.000000,30.562500,31.062500,16.403555,36660800
2000-08-07,30.875000,31.375000,29.843750,31.125000,16.436554,29891200
2000-08-14,31.125000,31.625000,29.750000,30.156250,15.924981,32569800
2000-08-21,29.968750,29.968750,27.500000,28.000000,14.786297,35507000
2000-08-28,28.343750,28.875000,25.750000,27.125000,14.324227,54130000
2000-09-04,27.125000,28.531250,26.625000,27.281250,14.406742,33788800
2000-09-11,27.281250,27.343750,24.968750,25.406250,13.416586,46635800
2000-09-18,25.406250,26.750000,24.593750,26.437500,14.005680,57676600
2000-09-25,26.437500,28.312500,26.312500,27.562500,14.601663,49079400
2000-10-02,27.625000,29.687500,27.625000,29.218750,15.479092,45389600
2000-10-09,29.218750,29.781250,28.187500,28.593750,15.147986,34122800
2000-10-16,28.593750,29.625000,26.875000,27.406250,14.518894,40916600
2000-10-23,27.406250,29.656250,26.937500,29.468750,15.611529,39676000
2000-10-30,29.468750,30.718750,29.343750,29.656250,15.710859,43822600
2000-11-06,29.656250,31.531250,29.406250,30.937500,16.389627,37020800
2000-11-13,30.812500,31.406250,29.812500,30.718750,16.273737,42807000
2000-11-20,29.437500,30.156250,27.625000,29.500000,15.628085,50617800
2000-11-27,29.500000,31.312500,29.031250,31.093750,16.472401,43004200
2000-12-04,31.093750,31.687500,30.187500,30.437500,16.170218,41796200
2000-12-11,30.093750,30.093750,26.750000,26.750000,14.211204,64584000
2000-12-18,26.812500,29.812500,26.812500,29.437500,15.638963,54751400
2000-12-25,29.437500,30.968750,29.312500,30.468750,16.186819,23872200
2001-01-01,30.468750,31.093750,28.375000,28.843750,15.323525,45806400
2001-01-08,28.906250,29.968750,28.125000,28.312500,15.041298,40129600
2001-01-15,28.312500,29.343750,27.656250,27.906250,14.825479,31654000
2001-01-22,27.906250,29.593750,27.593750,28.968750,15.389934,37653200
2001-01-29,28.799999,29.135000,28.264999,28.870001,15.337481,32024800
2001-02-05,28.870001,30.495001,28.809999,30.070000,15.974991,36167200
2001-02-12,30.070000,30.434999,28.495001,29.680000,15.767795,38161400
2001-02-19,29.680000,30.490000,25.705000,26.000000,13.812757,63088000
2001-02-26,26.000000,26.950001,25.725000,26.275000,13.958851,46815600
2001-03-05,25.650000,25.940001,24.695000,25.750000,13.679939,51688000
2001-03-12,25.650000,25.650000,23.100000,24.325001,12.922903,60428600
2001-03-19,24.325001,24.549999,22.000000,22.750000,12.129740,65065400
2001-03-26,22.750000,23.625000,21.879999,22.580000,12.039101,64443000
2001-04-02,22.580000,23.459999,21.924999,22.500000,11.996443,45718800
2001-04-09,22.500000,22.795000,21.184999,22.285000,11.881818,44305600
2001-04-16,22.285000,23.885000,22.075001,23.500000,12.529629,51873800
2001-04-23,23.514999,24.225000,23.000000,23.500000,12.529629,37397800
2001-04-30,23.375000,24.100000,22.910000,23.415001,12.484308,41212200
